ID	EGDe_030510[Tiling]	EGDe_Stat[Tiling]
lmo0580	2.861519034	3.627475802
lmo0581	3.056393861	4.341609715
lmo0582	3.732725678	4.84999915
lmo0583	1.022799924	2.057902906
lmo0584	4.101411896	5.269532145
lmo0585	-0.169843194	-0.014668188
lmo0586	-2.431124175	-2.180375205
lmo0587	-1.339213805	-0.380026126
lmo0588	0.208266587	0.626374888
lmo0589	-0.392523741	0.80033676
lmo0590	-0.981573292	0.226107478
lmo0591	-1.147603143	0.464617907
lmo0592	1.633607702	3.421128352
lmo0593	6.274191355	3.25351658
lmo0594	0.953693504	1.907997617
lmo0595	1.049597751	1.952152942
lmo0596	6.110960357	4.983723079
lmo0597	1.367406784	-0.238662911
lmo0599	-1.315704976	2.92021338
lmo0600	-1.006406971	1.734551892
lmo0601	-1.003139207	0.263566671
lmo0602	3.896309451	6.929576933
lmo0603	4.870852207	4.388049805
lmo0604	3.363242546	3.97309881
lmo0605	3.581597699	0.562770152
lmo0606	2.425962728	0.485316719
lmo0607	1.917822021	0.969255068
lmo0608	3.526194996	3.847782159
lmo0609	3.739330933	3.285217697
lmo0610	0.721589464	1.691811454
lmo0611	2.911532443	1.871494185
lmo0612	-1.197873733	-0.351658359
lmo0613	-0.39030181	1.365078146
lmo0614	0.844318061	1.262463848
lmo0615	-1.898136656	-0.42860526
lmo0616	0.182348789	0.571454333
lmo0617	-2.278838775	-1.193894813
lmo0618	2.775670079	2.986099255
lmo0619	-0.351725378	-0.088897104
lmo0620	1.968264256	1.517923754
lmo0621	0.898629765	0.04171854
lmo0622	2.560458704	4.755192099
lmo0623	2.889188962	4.622030026
lmo0624	4.123873909	5.839934404
lmo0625	4.56469386	6.283128289
lmo0626	4.246617508	3.004007582
lmo0627	-2.520351081	-2.191720167
lmo0628	-0.932680022	1.263753305
lmo0629	-0.609094646	1.301926705
lmo0630	-2.509723456	-1.945891314
lmo0631	-3.190239905	-2.647062578
lmo0632	-2.219167483	-1.563134253
lmo0633	-2.330795196	-1.057229157
lmo0634	-2.27880519	-0.900345696
lmo0635	-0.949116366	-1.733961811
lmo0636	1.380236491	0.239992324
lmo0637	1.128903792	0.203433588
lmo0638	-1.79763549	-1.637247281
lmo0639	1.933588655	3.419969891
lmo0640	3.833308168	6.751779049
lmo0641	6.969969583	7.631212936
lmo0642	5.341251506	3.976406647
lmo0643	-1.38825909	2.746757843
lmo0644	4.461408094	2.499181456
lmo0645	3.462583041	1.267500499
lmo0646	1.543515313	1.082240591
lmo0647	4.895118519	5.975225574
lmo0648	-1.170930136	-0.164939133
lmo0649	-1.163350879	-0.301229809
lmo0650	-0.515942156	0.238922255
lmo0651	4.054749364	4.691094345
lmo0652	2.401051218	1.750088763
lmo0653	6.455491998	7.003762959
lmo0654	2.969893478	3.33613034
lmo0655	0.950649212	0.571596156
lmo0656	5.01226908	4.287077234
lmo0657	1.616220742	1.219326671
lmo0658	1.702953748	0.848541742
lmo0659	-2.234973992	-2.140727453
lmo0660	-2.165717852	-1.437841958
lmo0661	0.27956984	-0.500141746
lmo0662	2.661075399	1.721789756
lmo0663	1.843006049	0.330105673
lmo0664	3.944473648	2.80197331
lmo0665	4.680782856	3.382162267
lmo0666	3.883915905	2.607432084
lmo0667	3.273942739	2.767567272
lmo0668	3.443681337	2.623069814
lmo0669	0.868848515	3.336683651
lmo0670	1.451824616	4.594635601
lmo0671	-1.711250698	-1.234523507
lmo0672	2.25844172	0.296852916
lmo0673	1.959903875	2.777264292
lmo0674	-0.711820544	-0.237907938
lmo0675	-0.507716217	-2.056417101
lmo0676	-0.468055699	-1.305089684
lmo0677	-1.335628042	-1.309225546
lmo0678	-1.810325943	-1.736887978
lmo0679	-1.424117486	-1.530954367
lmo0680	-1.679260432	-1.009900948
lmo0681	-1.64533553	-0.584961522
lmo0682	-1.627720557	-1.487738153
lmo0683	-1.963422378	-1.423091434
lmo0684	-2.213316048	-1.786210638
lmo0685	-1.334594297	-0.814434552
lmo0686	-1.896316568	-1.029734813
lmo0687	-2.339348615	-1.685214167
lmo0688	-2.154344268	-1.547651826
lmo0689	-0.865638852	-0.279133736
lmo0690	1.334809139	2.502858365
lmo0691	-0.909461706	-0.538630519
lmo0692	-1.635023354	-1.414892574
lmo0693	-2.173766137	-0.959637583
lmo0694	-1.950720518	-0.855875039
lmo0695	-2.036207157	-0.850270384
lmo0696	-2.483981918	-2.468712358
lmo0697	-2.088529354	-1.363202897
lmo0698	-1.606429989	-1.451017971
lmo0699	-2.123852599	-1.534567815
lmo0700	-1.908167897	-1.471653383
lmo0701	-2.317508749	-2.052067394
lmo0702	-2.145997291	-1.816482396
lmo0703	-2.283598187	-1.434462316
lmo0704	-2.502183902	-1.90336727
lmo0705	-2.076299158	-1.727594091
lmo0706	-1.976371259	-1.610218825
lmo0707	-2.10232943	-2.055619239
lmo0708	-2.710826863	-2.410714688
lmo0709	-2.567223112	-2.527195489
lmo0710	-2.194219342	-2.057927456
lmo0711	-1.956613007	-1.055489845
lmo0712	-2.123777324	-1.54737141
lmo0713	-2.276935884	-1.838564348
lmo0714	-2.125442332	-1.76325349
lmo0715	-2.45871592	-1.937009161
lmo0716	-2.034722731	-1.531523987
lmo0717	-2.044621896	-1.390499061
lmo0718	-2.477407494	-1.888271295
lmo0719	0.633283668	1.992258889
lmo0720	1.096045091	2.29538307
lmo0721	6.177108145	5.606886495
lmo0722	0.899096888	2.941192868
lmo0723	-0.765526128	0.672519466
lmo0724	0.287347839	1.996658519
lmo0725	3.041769958	2.050741503
lmo0726	4.073192575	3.847911587
lmo0727	5.573304441	4.151434987
lmo0728	2.336971768	2.871610669
lmo0729	0.89483022	2.48056856
lmo0730	-0.013524538	0.589535324
lmo0731	5.825965083	4.108830668
lmo0732	-1.88740909	-0.807461668
lmo0733	-0.106760387	1.540069658
lmo0734	0.397853468	3.431243311
lmo0735	-2.204115826	2.452832327
lmo0736	-2.276067511	2.486420776
lmo0737	-2.219173122	2.868570733
lmo0738	-1.623609209	3.752395209
lmo0739	-1.2994246	3.370110209
lmo0740	0.229423699	-0.374185987
lmo0741	-2.211800928	-2.117851816
lmo0742	-2.407265559	-1.902799887
lmo0743	-2.801708456	-2.504770466
lmo0744	-2.365986883	-1.581225779
lmo0745	-2.65758325	-1.657188339
lmo0746	-3.582534806	-3.203995533
lmo0747	-1.796365735	-1.822143102
lmo0748	-0.773153058	-1.448233499
lmo0749	0.074185603	0.147690191
lmo0750	0.5378417	0.374187765
lmo0751	0.34557635	0.012837667
lmo0752	0.692482229	1.041281704
lmo0753	-1.970581895	-0.491647313
lmo0754	0.25968313	0.643955947
lmo0755	1.332408355	1.270832792
lmo0756	2.661081769	3.046665903
lmo0757	3.254198713	3.61217497
lmo0758	-0.713711691	-0.2104656
lmo0759	-0.062885191	1.647788369
lmo0760	-0.166066085	2.109833406
lmo0761	-0.370568706	0.836221684
lmo0762	1.243213446	1.283725444
lmo0763	2.642488423	2.983900342
lmo0764	2.30151944	1.445215505
lmo0765	-2.282609593	-1.813880711
lmo0766	-2.274979208	-1.894697026
lmo0767	-2.234963207	-0.943839412
lmo0768	-1.826413188	-1.227573524
lmo0769	-1.588141057	-0.832389119
lmo0770	2.079086226	2.645858157
lmo0771	1.203546497	0.677852591
lmo0772	-0.090859052	-0.979407977
lmo0773	3.692542595	3.278040092
lmo0774	2.838721449	4.034045416
lmo0775	3.110096619	4.079384901
lmo0776	0.02515354	2.767440389
lmo0777	3.45256256	2.072605795
lmo0778	0.55154619	0.866815017
lmo0779	4.157922025	4.442132012
lmo0780	-2.125953607	-1.728768524
lmo0781	3.745105121	5.508669772
lmo0782	4.88514533	6.355285486
lmo0783	3.650171332	3.593369671
lmo0784	3.749845471	3.662984122
lmo0785	2.56884045	-0.271076417
lmo0786	3.440958995	0.292548304
lmo0787	4.428400123	2.927796904
lmo0788	3.458220749	2.622934646
lmo0789	1.208987964	2.512365805
lmo0790	0.743655738	1.485359594
lmo0791	0.651838894	-0.417609329
lmo0792	1.317448635	2.426712214
lmo0793	2.879714085	0.715771687
lmo0794	2.933621116	5.985241375
lmo0795	3.543567494	0.945567937
lmo0796	3.246502745	5.631995095
lmo0797	1.782381273	2.0600947
lmo0798	2.021495498	0.541117309
lmo0799	4.441016708	4.490382753
lmo0800	2.235337355	4.183220314
lmo0801	-2.619894643	-2.09257484
lmo0802	-0.032565187	-0.681426937
lmo0803	1.475537886	0.990277795
lmo0804	1.483170557	1.308323941
lmo0805	1.029053353	1.006060754
lmo0806	-2.164298499	-1.566038535
lmo0807	-1.659930289	-1.328515062
lmo0808	-0.935317753	-1.448699065
lmo0809	-0.611598327	-0.905439974
lmo0810	-0.754022117	-0.704416533
lmo0811	2.249388885	2.286222895
lmo0812	1.833839866	1.486018383
lmo0813	3.835350707	4.326148298
lmo0814	4.007544553	2.304676411
lmo0815	-0.541877887	-1.47750236
lmo0816	-0.211504264	-0.665144646
lmo0817	2.619964279	2.725028036
lmo0818	1.025517089	2.651826218
lmo0819	0.313989429	1.905826771
lmo0820	-1.381102707	-0.89087095
lmo0821	0.243642968	0.210641458
lmo0822	2.667437628	2.794446558
lmo0823	2.67385355	2.736680578
lmo0824	0.46510053	0.528244471
lmo0825	0.900910677	1.695682036
lmo0826	2.483867215	1.3540609
lmo0827	-1.802448388	-1.2103079
lmo0828	-0.963688837	-1.564903755
lmo0829	5.035515444	4.664914328
lmo0830	0.471870079	1.834292083
lmo0831	3.274177717	1.952611024
lmo0832	-2.515300642	-2.14931706
lmo0833	-2.396188333	-1.925241471
lmo0834	-2.487596229	-1.63838019
lmo0835	-2.371079841	-2.310284945
lmo0836	3.936177877	3.65871122
lmo0837	2.465732855	-0.67662316
lmo0838	-0.629421855	-1.064175076
lmo0839	-1.766413373	-1.975901829
lmo0840	-1.695122543	-1.662564257
lmo0841	1.805782415	2.59291677
lmo0842	-1.786233273	-1.536588696
lmo0843	-0.086523785	-0.667187482
lmo0844	2.060112041	2.412512677
lmo0845	2.838724035	2.365516159
lmo0846	0.191694701	-0.848906494
lmo0847	0.557510654	-1.020065988
lmo0848	2.93075971	0.266309006
lmo0849	-2.732888657	-2.286339746
lmo0850	-0.111103787	0.826008702
lmo0851	4.042826001	4.621422875
lmo0852	0.693680741	0.409136283
lmo0853	0.772674749	0.51286715
lmo0854	0.154829068	0.284919094
lmo0855	3.898615733	2.095544357
lmo0856	3.057341137	0.887776435
lmo0857	4.567347852	3.346762514
lmo0858	2.161525633	2.802568343
lmo0859	-2.130133783	-1.241737285
lmo0860	-2.259331352	-2.003801325
lmo0861	-1.813326405	-1.239674871
lmo0862	-1.428880932	-0.652306068
lmo0863	-1.949255767	-1.161458728
lmo0864	-1.281572142	-1.05663807
lmo0865	-0.525224556	-0.066855676
lmo0866	6.216435065	2.845437693
lmo0867	4.077100636	1.309958759
lmo0868	0.472428583	-0.762255018
lmo0869	-1.540005273	0.819571785
lmo0870	-0.929969441	1.516690662
lmo0871	2.444267051	0.954541428
lmo0872	-0.671482216	-0.405989574
lmo0873	-1.893839515	-1.66998358
lmo0874	-2.522197555	-1.85147066
lmo0875	-2.358245946	-1.67828869
lmo0876	-2.444889077	-1.699660984
lmo0877	-1.597476233	-0.418680146
lmo0878	-1.555525248	-0.380471
lmo0879	-1.578011289	-0.157256003
lmo0880	-0.133587702	2.764962106
lmo0881	-2.032048356	-0.363642942
lmo0882	3.319172504	2.569134993
lmo0883	3.716598933	3.067914138
lmo0884	0.962835644	1.226987591
lmo0885	1.01246865	1.041128913
lmo0886	1.110986526	1.419550349
lmo0887	5.535631283	5.939187575
lmo0888	3.715358022	3.376633015
lmo0889	2.741417279	1.96971839
lmo0890	2.403055274	1.29975886
lmo0891	2.555714605	1.712852153
lmo0892	2.672782949	1.823946763
lmo0893	4.643028335	3.672227138
lmo0894	4.993030079	4.126673476
lmo0895	5.404442853	5.044723663
lmo0896	5.593251005	5.456822492
lmo0897	0.427286633	-0.070157796
lmo0898	2.70157931	2.318235826
lmo0899	2.32559423	1.844863615
lmo0900	0.530871128	1.077762999
lmo0901	-0.799737098	-0.525969769
lmo0902	4.745181781	5.394175494
lmo0903	2.482380511	1.928764002
lmo0904	2.128675589	3.031214936
lmo0905	1.918700853	2.417817032
lmo0906	3.281070612	3.969452184
lmo0907	4.109715808	5.291105681
lmo0908	4.75346142	3.450214971
lmo0909	1.956134095	3.178505162
lmo0910	2.189727021	3.527297143
lmo0911	3.742518623	5.021326194
lmo0912	6.421514913	3.375993282
lmo0913	2.403884281	4.538816838
lmo0914	-0.330129267	3.558331481
lmo0915	-1.76294109	2.478628562
lmo0916	-2.538922083	1.05449419
lmo0917	-1.820503553	2.628555243
lmo0918	-2.332655074	-0.236150564
lmo0919	-0.566540934	1.572460525
lmo0920	2.770239173	0.423890728
lmo0921	1.291239693	-0.087766217
lmo0922	4.173000658	3.69863086
lmo0923	2.315817026	2.903487559
lmo0924	2.223809514	3.002331413
lmo0925	1.747363126	2.552353654
lmo0926	2.189138946	3.243606293
lmo0927	4.973071443	4.175802537
lmo0928	-1.128079673	-1.087401391
lmo0929	0.964253301	0.781853983
lmo0930	2.207498241	3.185963548
lmo0931	2.859827601	3.087333465
lmo0932	3.099361505	4.083736968
lmo0933	3.986010779	4.035807175
lmo0934	3.097603469	0.578013536
lmo0935	2.39993035	0.029926167
lmo0936	1.687072378	0.42852479
lmo0937	5.979409693	6.904894556
lmo0938	2.731820218	2.2299893
lmo0939	0.445107646	-0.297953139
lmo0940	2.210285923	1.758534983
lmo0941	0.625849253	0.425776798
lmo0942	0.993685293	0.323505936
lmo0943	4.864284122	6.638059097
lmo0944	3.97887911	4.504446446
lmo0945	-0.490779321	-0.74477851
lmo0946	0.643393353	0.407473294
lmo0947	2.904723412	0.917914326
lmo0948	0.543867535	0.117789545
lmo0949	4.265014341	3.712038426
lmo0950	1.121380887	0.724188588
lmo0951	0.875514481	0.26854851
lmo0952	5.632567672	2.960000612
lmo0953	3.708767849	5.753038412
lmo0954	0.473671714	0.452509585
lmo0955	-1.34836157	-0.459233334
lmo0956	1.829743391	4.90242863
lmo0957	3.045707201	4.04205795
lmo0958	3.087157794	3.583733605
lmo0959	5.783861015	4.089675543
lmo0960	2.971090903	-0.268703743
lmo0961	2.366030819	-0.327060384
lmo0962	5.270058363	5.229197696
lmo0963	4.955703566	4.982473543
lmo0964	5.546822703	7.10325315
lmo0965	-0.870219496	0.011270562
lmo0966	-0.046141239	0.320614659
lmo0967	0.445305679	1.011013227
lmo0968	1.747983668	1.797561215
lmo0969	2.291073126	1.817763283
lmo0970	5.819024538	4.650422007
lmo0971	2.920010661	0.105332882
lmo0972	3.648078187	0.75101151
lmo0973	3.696189334	1.049132787
lmo0974	4.257499527	2.341588707
lmo0975	1.149690369	1.299037692
lmo0976	3.822705633	3.293290103
lmo0977	4.10672021	3.578380014
lmo0978	6.43375502	5.863441428
lmo0979	0.6760792	1.578783332
lmo0980	0.813943314	1.179334407
lmo0981	5.237112596	3.024312301
lmo0982	1.96254594	2.317190608
lmo0983	1.656076427	2.798319109
lmo0984	-1.327365151	-0.978514654
lmo0985	-1.122833086	-0.776182936
lmo0986	-1.345316437	-0.982164605
lmo0987	-0.647417881	-0.785639108
lmo0988	5.046612039	1.950588924
lmo0989	2.873723164	0.950743101
lmo0990	0.566200991	-0.096417226
lmo0991	2.282247634	0.114931916
lmo0992	4.142396024	2.974335875
lmo0993	4.019524065	2.685033223
lmo0994	4.706135921	6.534840508
lmo0995	0.105247664	1.206939415
lmo0996	0.851450318	0.469876781
lmo0997	-0.055629655	1.945186019
lmo0998	5.67117957	2.703699694
lmo0999	4.756889967	2.644235483
lmo1000	1.128069727	0.050846987
lmo1001	0.859470548	1.581057005
lmo1002	7.528632969	6.724270535
lmo1003	6.642099741	5.653362001
lmo1004	3.977247972	1.766562213
lmo1005	3.771118775	2.782491576
lmo1006	4.057503887	2.777634933
lmo1007	-0.629086701	-0.139767427
lmo1008	6.067368935	4.965064094
lmo1009	0.72493744	1.759319991
lmo1010	1.33659061	1.548284111
lmo1011	5.157781463	3.770062708
lmo1012	4.529223604	3.582499748
lmo1013	5.973089306	4.381697542
lmo1014	3.609319949	0.391275608
lmo1015	3.424994328	1.046129047
lmo1016	3.593428895	1.32684704
lmo1017	4.193225805	2.996118415
lmo1018	0.476774976	1.037463013
lmo1019	2.413901532	2.127581332
lmo1020	2.662751956	2.132476041
lmo1021	1.758108728	1.962328626
lmo1022	1.777267409	2.350899687
lmo1023	2.605521297	2.514296397
lmo1024	1.218138795	0.094597858
lmo1025	1.428285992	1.128357148
lmo1026	4.128196923	3.876887479
lmo1027	5.749640885	4.679123286
lmo1028	3.891407161	2.647635864
lmo1029	4.345275707	4.575754685
lmo1030	-0.610507348	-0.489995883
lmo1031	-2.188811358	-1.386642383
lmo1032	-1.707213459	-0.86170088
lmo1033	-1.31574804	-0.623322218
lmo1034	-2.218253523	-1.586531916
lmo1035	-1.265279421	-0.545804971
lmo1036	0.007331027	1.190190067
lmo1037	2.027419084	0.831573018
lmo1038	2.983019671	3.148033044
lmo1039	3.638426525	3.561921949
lmo1040	3.541465127	3.247795098
lmo1041	-0.6477153	-0.53521493
lmo1042	-0.591513251	1.933939651
lmo1043	-0.860220546	2.057921006
lmo1044	-0.395378607	2.079204759
lmo1045	-0.483102508	2.53144805
lmo1046	-0.018307456	3.81145176
lmo1047	1.058510337	5.215616111
lmo1048	1.793333773	3.819900971
lmo1049	1.454283444	3.691785808
lmo1050	3.301747455	2.586356264
lmo1051	4.490705454	4.163466966
lmo1052	4.071497167	3.950444565
lmo1053	4.561519966	4.809744774
lmo1054	4.975314292	5.025231126
lmo1055	6.360880723	6.9766116
lmo1056	3.771598079	1.946392351
lmo1057	1.624771825	2.643260991
lmo1058	1.056196236	2.739765453
lmo1059	1.751277117	3.073188779
lmo1060	-1.747528829	-1.399498333
lmo1061	-1.595262644	-1.268843729
lmo1062	-2.507624583	-1.854137808
lmo1063	-2.483354286	-2.050426999
lmo1064	2.945062813	1.081475273
lmo1065	2.138130761	1.464312518
lmo1066	3.841881823	3.558772772
lmo1067	4.913448052	2.222100369
lmo1068	2.864309486	3.819347834
lmo1069	4.647375908	3.977049881
lmo1070	5.573590319	5.480923779
lmo1071	5.532474092	3.448062736
lmo1072	3.235761224	2.862800696
lmo1073	-0.598154475	-2.047369662
lmo1074	0.841664442	-0.722956927
lmo1075	1.287289024	-0.532268855
lmo1076	2.143245181	0.912963409
lmo1077	3.238436562	1.118028708
lmo1078	4.502748273	3.475857298
lmo1079	2.221280378	-0.02687253
lmo1080	0.807036043	0.780928317
lmo1081	2.034375217	1.064510594
lmo1082	2.465593851	1.141057096
lmo1083	2.161678644	1.081874631
lmo1084	2.339389308	1.770832845
lmo1085	-0.558797434	-0.599067101
lmo1086	2.567247916	1.800980841
lmo1087	3.516953429	2.423746938
lmo1088	-0.130273828	-0.576256389
lmo1089	0.130346863	0.238098156
lmo1090	-0.150808821	-0.516402116
lmo1091	0.50684094	-0.286700453
lmo1092	2.149251597	2.346788981
lmo1093	2.995747952	3.57187994
lmo1094	3.796466423	4.47854722
lmo1095	2.87526693	2.600972423
lmo1096	6.068638582	3.227569641
lmo1097	0.964980508	2.652711967
lmo1098	-2.605353018	-1.892925129
lmo1099	-2.610097201	-1.927918803
lmo1100	-0.885021424	-0.334471437
lmo1101	-0.381598897	-1.794188678
lmo1102	-2.235326187	-1.283874311
lmo1103	-2.717227914	-2.424279037
lmo1104	-2.692805503	-2.158042195
lmo1105	-2.648176404	-2.074468913
lmo1106	-2.58482368	-1.81074194
lmo1107	-2.300227182	-1.538061518
lmo1108	-2.580988468	-1.750675207
lmo1109	-2.467889225	-1.497544266
lmo1110	-2.359417754	-2.381678411
lmo1111	-2.747240677	-2.024442868
lmo1112	-1.853340686	-1.394887741
lmo1113	-0.267021353	1.132493343
lmo1114	-0.224849193	0.996593696
lmo1115	-2.521204756	-2.340039677
lmo1116	-1.253984906	-0.408949652
lmo1117	0.437372836	1.570554297
lmo1118	-0.584674911	0.36182655
lmo1119	0.072495168	1.413780891
lmo1120	-1.894231664	-1.52855783
lmo1121	-1.595882734	-1.798134606
lmo1122	-2.414239383	-2.137997736
lmo1123	-1.642552524	-1.218274594
lmo1124	-2.456096394	-1.38386247
lmo1125	-1.373341145	-1.197426643
lmo1126	-0.543744703	0.335656559
lmo1127	-0.02090356	-0.081910805
lmo1128	-1.530276834	-0.879060509
lmo1129	-2.840767961	-1.892834157
lmo1130	-2.21105787	-2.074646868
lmo1131	-0.670733558	-0.61361611
lmo1132	-0.346888465	-0.732044043
lmo1133	-2.224057931	-1.605586693
lmo1134	-1.241707124	0.171071398
lmo1135	-0.991087629	0.370373038
lmo1136	0.762302131	-0.492247174
lmo1137	-0.36955192	0.197148853
lmo1138	3.90135688	5.52923319
lmo1139	0.670471426	1.451005788
lmo1140	2.680876907	5.577972373
lmo1141	2.061480223	2.080178781
lmo1142	-0.290324772	1.209921701
lmo1143	-0.280742352	0.778794566
lmo1144	0.339373661	0.598017791
lmo1145	0.394797559	0.643013703
lmo1146	-0.395841701	0.210599703
lmo1147	-0.938226029	-0.223376873
lmo1148	-0.717461628	0.094318563
lmo1149	-0.904692197	-0.182746352
lmo1150	0.81031106	2.893958675
lmo1151	-1.014763329	-0.383921283
lmo1152	-1.822509228	-0.465981103
lmo1153	-1.880421544	-1.488630373
lmo1154	-2.215574686	-1.337060613
lmo1155	-1.693798733	-0.916845234
lmo1156	-1.877137789	-1.20113351
lmo1157	-1.663395749	-1.408706199
lmo1158	-1.913686655	-0.764113104
lmo1159	-1.411799178	-0.587549657
lmo1160	-2.407310034	-1.292766944
lmo1161	-1.898474527	-1.155161645
lmo1162	-2.13718756	-1.251130673
lmo1163	-1.915540123	-0.799524004
lmo1164	-1.917394664	-1.084322522
lmo1165	-2.085026604	-0.964008318
lmo1166	-1.297655127	-0.535367352
lmo1167	-1.43725461	-0.72260317
lmo1168	0.191006505	-0.384983497
lmo1169	1.7972095	-0.294238976
lmo1170	2.503155809	0.337471698
lmo1171	-2.00598912	-1.831160813
lmo1172	-0.042655387	0.033201299
lmo1173	-0.276903052	0.735423382
lmo1174	-2.116845178	-1.307035099
lmo1175	-1.854539734	-1.608445681
lmo1176	-1.871788265	-1.520021595
lmo1177	-2.445754848	-2.238457342
lmo1178	-1.717827934	-1.648733978
lmo1179	-2.303600572	-1.662217965
lmo1180	-0.801703611	-0.36785968
lmo1181	-2.568122238	-1.918030928
lmo1182	-2.485859143	-1.352645398
lmo1183	-2.557651548	-1.28707839
lmo1184	-0.6854886	-0.585762672
lmo1185	-1.990361431	-1.277478512
lmo1186	-0.789957136	-0.14936369
lmo1187	-0.689038066	-0.470188141
lmo1188	-0.05501704	-0.975520157
lmo1189	1.489583595	2.327165294
lmo1190	-1.313791013	1.460516718
lmo1191	-1.63151492	-0.081598716
lmo1192	-1.525857074	-0.765522463
lmo1193	-1.836446597	-0.80332305
lmo1194	-1.791967698	-0.82314353
lmo1195	-2.473733365	-1.88582897
lmo1196	-1.979627334	-1.862460231
lmo1197	-1.875358496	-1.162042703
lmo1198	-2.186868306	-1.167613385
lmo1199	-1.855110563	-0.598422816
lmo1200	-1.904764493	-1.416637614
lmo1201	-1.89371966	-1.479039137
lmo1202	-2.482893086	-1.971595587
lmo1203	-1.951568069	-1.561256139
lmo1204	-1.96678946	-1.024457231
lmo1205	-1.590401796	-1.154077948
lmo1206	-1.653180393	-1.314310015
lmo1207	-0.239698698	-0.170810066
lmo1208	0.11674595	1.19922314
lmo1209	0.113292773	1.50600783
lmo1210	3.428004027	-0.030386714
lmo1211	4.642546818	0.399724827
lmo1212	-1.885229037	-0.96818932
lmo1213	1.181300686	1.013205241
lmo1214	2.381007859	2.365411214
lmo1215	-0.50794419	-0.97411681
lmo1216	3.400701843	-0.217713945
lmo1217	4.727670355	3.400086667
lmo1218	4.284054545	3.175384247
lmo1219	2.44903228	2.715635498
lmo1220	4.13548767	5.118044754
lmo1221	2.337405176	1.001824151
lmo1222	2.889346824	2.1729755
lmo1223	0.507655864	-0.051299657
lmo1224	0.494552537	-0.121735666
lmo1225	0.252713971	-0.143093429
lmo1226	1.546300791	2.055189424
lmo1227	3.240589331	4.112773147
lmo1228	3.594311279	1.756050736
lmo1229	4.736284334	5.367005563
lmo1230	4.72595413	5.107265829
lmo1231	1.54895714	1.389830865
lmo1232	1.379002681	0.944850909
lmo1233	3.84351743	4.705905321
lmo1234	2.986161491	2.919198007
lmo1235	1.970968154	0.451986327
lmo1236	4.160327987	3.094358515
lmo1237	3.303622258	2.67103024
lmo1238	2.519702895	0.907977407
lmo1239	2.83699039	0.915842195
lmo1240	3.793837087	2.284403113
lmo1241	1.744901813	4.16380311
lmo1242	2.16270281	1.591828854
lmo1243	1.253320394	1.55305022
lmo1244	2.541346006	2.463877124
lmo1245	0.054128656	-0.357881615
lmo1246	0.144945561	-0.364005848
lmo1247	1.079989497	0.365182232
lmo1248	0.540997612	0.314873092
lmo1249	-1.644837049	-2.420685583
lmo1250	-1.678626389	-1.45358955
lmo1251	0.009958426	0.003575652
lmo1252	3.436138836	1.72434079
lmo1253	3.837979802	3.035811975
lmo1254	4.804664022	7.993641825
lmo1255	5.066647268	8.080281656
lmo1256	-1.360017412	1.56945119
lmo1257	6.124629245	8.222499982
lmo1258	1.843919479	3.823253998
lmo1259	3.483750293	2.336014963
lmo1260	2.619437149	1.693647388
lmo1261	5.142288527	4.488515263
lmo1262	1.223932704	0.409830888
lmo1263	-2.259022264	-1.73591437
lmo1264	-1.416119167	-0.189224422
lmo1265	-1.704699778	-1.447209766
lmo1266	0.157631957	-0.808127258
lmo1267	3.813972573	2.506866066
lmo1268	5.803164963	5.814760959
lmo1269	4.188960585	4.848215857
lmo1270	4.24443455	4.876346883
lmo1271	2.379782427	2.179567749
lmo1272	1.224428533	1.035989237
lmo1273	1.386190489	0.443618152
lmo1274	-1.536212319	-1.172954428
lmo1275	1.662949659	0.872684509
lmo1276	2.309834419	1.676013731
lmo1277	4.268924013	3.041712579
lmo1278	2.24812874	1.131539888
lmo1279	1.074114144	0.150951157
lmo1280	2.117092081	0.950576605
lmo1281	2.152836175	1.724101593
lmo1282	2.016518245	1.218058547
lmo1283	2.684308504	3.031679103
lmo1284	4.920308751	3.413438528
lmo1285	4.690083191	4.695461521
lmo1286	3.610896299	1.944051175
lmo1287	2.416868191	0.734555208
lmo1288	5.013984253	5.329944283
lmo1289	-1.841840877	-1.362943209
lmo1290	-2.456166782	-2.030591057
lmo1291	3.820662075	3.00196702
lmo1292	1.731178264	1.373541339
lmo1293	1.157437082	5.038749282
lmo1294	4.039485846	1.747362999
lmo1295	5.502621646	6.588059103
lmo1296	0.677124775	-0.860189816
lmo1297	2.335081797	0.044915256
lmo1298	3.291373253	0.44676923
lmo1299	6.475892431	3.259294867
lmo1300	3.09915987	1.811822348
lmo1301	4.264514738	5.909995886
lmo1302	3.829860378	4.892778376
lmo1303	3.530060257	5.194796939
lmo1304	1.295274816	2.10148327
lmo1305	6.33104026	5.599585355
lmo1306	5.442756411	3.496776264
lmo1307	-1.004251382	-2.074493465
lmo1308	0.977430523	-0.583903379
lmo1309	0.724015456	0.125832373
lmo1310	-0.949858107	-1.506068157
lmo1311	-2.221268192	-2.040661578
lmo1312	-2.031762154	-2.156898637
lmo1313	2.828992873	0.967460848
lmo1314	1.766105184	0.424534786
lmo1315	3.349120159	2.652908781
lmo1316	3.389139177	1.909219674
lmo1317	3.365181001	2.056366914
lmo1318	4.118294837	2.091758971
lmo1319	5.215481458	3.145656755
lmo1320	2.146417172	1.751717619
lmo1321	2.691869446	1.624261521
lmo1322	2.440045076	0.804616817
lmo1323	1.311393366	0.742067354
lmo1324	1.642399781	0.237772436
