ID	EGDe_030510[Tiling]	EGDe_Stat[Tiling]
lmo0024	-2.528606406	-0.933135102
lmo0025	-0.628328911	1.138257449
lmo0026	-1.204729834	-0.598808096
lmo0027	0.368090709	4.091642764
lmo0028	0.597195709	0.123271055
lmo0029	5.181911424	5.230681406
lmo0030	0.898290262	1.08522735
lmo0031	0.433037498	1.185157632
lmo0032	-2.462614681	-1.166635054
lmo0033	-2.451158454	-1.819898355
lmo0034	-2.389587289	-2.012411123
lmo0035	-2.130634448	-0.71598057
lmo0036	-2.067960994	-1.008374818
lmo0037	-1.752424134	-1.046619633
lmo0038	-1.365424416	0.077801029
lmo0039	-0.598665984	1.019371237
lmo0040	-0.165462574	-0.092661067
lmo0041	-1.335485224	-2.00839936
lmo0042	3.823636306	0.718767752
lmo0043	0.57650602	1.096708839
lmo0044	7.280675068	5.112276841
lmo0045	7.211525031	5.144869747
lmo0046	6.280098617	3.294015816
lmo0047	-1.661096925	-1.261293795
lmo0048	6.164778301	6.449167732
lmo0049	5.425134125	6.204572242
lmo0050	2.97312658	2.266710841
lmo0051	4.378750294	4.630840445
lmo0052	2.992835237	2.99706424
lmo0053	3.406571849	3.506734582
lmo0054	4.465653552	4.417711793
lmo0055	4.482338311	1.560488843
lmo0056	1.369817705	1.486247984
lmo0057	-2.65251966	-2.084670392
lmo0058	-2.336681342	-1.799906575
lmo0059	-2.588404712	-2.680683209
lmo0060	-2.519120627	-2.335502711
lmo0061	-2.48338616	-2.132082035
lmo0062	-2.011552461	-1.098954284
lmo0063	-3.041116445	-1.993268949
lmo0064	-2.562360665	-1.947137185
lmo0065	-2.461773176	-2.57243632
lmo0066	-1.543263744	-0.692596332
lmo0067	-1.644692727	-0.958715414
lmo0068	-1.678695652	-1.145341979
lmo0069	-1.773664716	-1.68808071
lmo0070	-1.694727125	-0.344223464
lmo0071	-1.896646905	-0.554619918
lmo0072	0.175931957	0.144113563
lmo0073	-0.250166105	-0.119687771
lmo0074	-0.08304785	0.365215186
lmo0075	0.974977486	1.610330131
lmo0076	2.017694219	2.429977586
lmo0077	3.161832057	1.879616299
lmo0078	3.980915858	3.910740251
lmo0079	-1.512568055	-1.57195814
lmo0080	-1.19608956	-0.721398227
lmo0081	-2.406211521	-1.624298774
lmo0082	0.87240932	-0.45792598
lmo0083	0.041310618	1.444233305
lmo0084	0.484789008	1.795995154
lmo0085	-2.492742833	-1.93868677
lmo0086	-2.56547361	-2.170320227
lmo0087	-2.784946028	-2.41364511
lmo0088	-0.977911618	-0.496072658
lmo0089	-2.582318163	-2.087960453
lmo0090	-2.214487505	-1.601256011
lmo0091	-2.687054415	-1.955809787
lmo0092	-1.751236122	-0.826105789
lmo0093	-0.178050351	-0.525878667
lmo0094	0.634255356	-0.002823327
lmo0095	-0.980437178	-0.444163657
lmo0096	6.344210784	4.11366347
lmo0097	6.428530112	5.465685714
lmo0098	6.625636844	6.301364346
lmo0099	4.92585184	3.68229843
lmo0100	2.557769333	3.222414368
lmo0101	2.889906002	2.98988697
lmo0102	0.915698747	-0.630852281
lmo0103	0.676398059	-0.196752326
lmo0104	2.951515005	3.060222184
lmo0105	-1.231926059	2.507338019
lmo0106	2.428917848	1.836991699
lmo0107	-1.284698467	-0.561035524
lmo0108	-1.7613518	-0.965078871
lmo0109	0.173209642	3.103157692
lmo0110	1.234619267	4.915873734
lmo0111	2.434822769	2.422776994
lmo0112	-0.421236024	-1.176784389
lmo0113	1.1994952	2.324146163
lmo0114	0.645522216	1.852805567
lmo0115	-1.631334885	0.06148303
lmo0116	-0.649455638	0.814806242
lmo0117	2.658812615	4.203908714
lmo0118	1.941814675	3.522001314
lmo0119	0.001202018	1.358364141
lmo0120	0.314323843	1.844054554
lmo0121	0.226390683	1.592294541
lmo0122	0.292953279	1.7606514
lmo0123	-0.771037872	0.419443705
lmo0124	-1.217953577	0.184555172
lmo0125	-0.999881177	0.494850496
lmo0126	-0.218469956	1.308320558
lmo0127	-0.558389929	0.95063739
lmo0128	-0.321087558	1.28508093
lmo0129	-0.175079103	1.521980896
lmo0130	-0.252874286	0.926276247
lmo0131	0.771083761	1.168852842
lmo0132	4.866618049	3.441957019
lmo0133	3.414856054	6.100552841
lmo0134	3.725801797	6.315254756
lmo0135	2.523826756	0.765570993
lmo0136	3.888118489	2.641090867
lmo0137	4.043296993	2.832013328
lmo0138	-0.819949579	-0.140519993
lmo0139	-1.621654528	-0.947667137
lmo0140	-1.673907193	-1.098437025
lmo0141	-2.323127412	-2.124007243
lmo0142	-2.218859842	-1.44955424
lmo0143	-2.519143966	-1.745301631
lmo0144	-2.223520599	-1.681347277
lmo0145	-3.105859977	-2.002634465
lmo0146	-2.19329204	-0.976499935
lmo0147	-2.384550574	-2.914043384
lmo0148	-2.626472454	-2.437958142
lmo0149	-1.138531916	-0.550501548
lmo0150	-1.846353205	-1.888004097
lmo0151	-1.576288069	-0.785648577
lmo0152	1.128632632	0.68067518
lmo0153	-2.20663916	-2.080643985
lmo0154	-1.67623817	-1.351253659
lmo0155	-1.296655361	-1.546667324
lmo0156	-2.945971698	-2.594828729
